Pelicula;F.Alquiler;F.Devolucion;Cliente;Empleado
GO PURPLE;07/07/2005 2:36:33;09/07/2005 8:32:33;JUSTIN NGO;Jon Stephens
SHOCK CABIN;07/07/2005 2:45:02;14/07/2005 1:41:02;MATHEW BOLIN;Mike Hillyer
STRANGELOVE DESIRE;07/07/2005 2:52:52;16/07/2005 0:09:52;EDUARDO HIATT;Mike Hillyer
EMPIRE MALKOVICH;07/07/2005 2:52:53;11/07/2005 22:32:53;SHIRLEY ALLEN;Jon Stephens
MOONSHINE CABIN;07/07/2005 3:37:28;09/07/2005 1:40:28;ERIC ROBERT;Mike Hillyer
TRUMAN CRAZY;07/07/2005 3:57:36;09/07/2005 8:53:36;RALPH MADRIGAL;Jon Stephens
NEWTON LABYRINTH;07/07/2005 4:00:20;12/07/2005 8:14:20;DEBBIE REYES;Mike Hillyer
MONSTER SPARTACUS;07/07/2005 4:10:13;13/07/2005 7:44:13;STACEY MONTGOMERY;Mike Hillyer
ORIENT CLOSER;07/07/2005 4:37:09;08/07/2005 4:19:09;TYLER WREN;Jon Stephens
POLISH BROOKLYN;07/07/2005 4:48:02;12/07/2005 10:32:02;DANIEL CABRAL;Jon Stephens
HORN WORKING;07/07/2005 4:51:44;09/07/2005 3:07:44;RENE MCALISTER;Jon Stephens
FAMILY SWEET;07/07/2005 5:09:54;11/07/2005 23:58:54;ELEANOR HUNT;Mike Hillyer
DREAM PICKUP;07/07/2005 5:10:08;12/07/2005 0:47:08;SONIA GREGORY;Mike Hillyer
OPERATION OPERATION;07/07/2005 5:11:53;12/07/2005 0:55:53;TRACY COLE;Mike Hillyer
MEMENTO ZOOLANDER;07/07/2005 5:16:00;15/07/2005 9:23:00;MARIO CHEATHAM;Mike Hillyer
GOLDMINE TYCOON;07/07/2005 5:25:39;12/07/2005 4:30:39;BYRON BOX;Mike Hillyer
PET HAUNTING;07/07/2005 5:30:56;16/07/2005 10:20:56;DON BONE;Mike Hillyer
GRAIL FRANKENSTEIN;07/07/2005 5:54:18;16/07/2005 9:14:18;MARIAN MENDOZA;Mike Hillyer
FRENCH HOLIDAY;07/07/2005 5:54:50;12/07/2005 0:34:50;JERRY JORDON;Mike Hillyer
LOCK REAR;07/07/2005 6:00:21;10/07/2005 3:24:21;BRAD MCCURDY;Jon Stephens
OPEN AFRICAN;07/07/2005 6:01:48;15/07/2005 2:52:48;ANNA HILL;Jon Stephens
LOVELY JINGLE;07/07/2005 6:10:55;11/07/2005 2:45:55;GLORIA COOK;Mike Hillyer
SWARM GOLD;07/07/2005 6:25:19;11/07/2005 0:50:19;JUANITA MASON;Jon Stephens
UNBREAKABLE KARATE;07/07/2005 6:36:32;14/07/2005 3:36:32;TERRI VASQUEZ;Mike Hillyer
TOMATOES HELLFIGHTERS;07/07/2005 6:51:12;15/07/2005 1:36:12;BRADLEY MOTLEY;Mike Hillyer
IDOLS SNATCHERS;07/07/2005 7:06:03;13/07/2005 1:56:03;RONALD WEINER;Jon Stephens
PATIENT SISTER;07/07/2005 7:24:11;15/07/2005 7:31:11;CATHY SPENCER;Mike Hillyer
TRAMP OTHERS;07/07/2005 7:51:53;11/07/2005 12:41:53;MABEL HOLLAND;Jon Stephens
MIDSUMMER GROUNDHOG;07/07/2005 7:53:18;08/07/2005 4:48:18;JEAN BELL;Mike Hillyer
GANDHI KWAI;07/07/2005 8:17:13;14/07/2005 5:18:13;EDWARD BAUGH;Jon Stephens
CAPER MOTIONS;07/07/2005 8:25:44;16/07/2005 13:10:44;JOEL FRANCISCO;Jon Stephens
ARMAGEDDON LOST;07/07/2005 8:30:16;12/07/2005 7:52:16;NORMAN CURRIER;Mike Hillyer
ITALIAN AFRICAN;07/07/2005 8:53:08;11/07/2005 5:09:08;JAMES GANNON;Jon Stephens
BENEATH RUSH;07/07/2005 9:05:42;09/07/2005 4:28:42;DON BONE;Mike Hillyer
CLYDE THEORY;07/07/2005 9:17:26;15/07/2005 10:15:26;JOHNNIE CHISHOLM;Jon Stephens
REDEMPTION COMFORTS;07/07/2005 9:33:30;16/07/2005 6:06:30;RANDY GAITHER;Mike Hillyer
HEAD STRANGER;07/07/2005 9:37:24;09/07/2005 14:32:24;ESTHER CRAWFORD;Jon Stephens
ROCKETEER MOTHER;07/07/2005 9:39:18;11/07/2005 13:43:18;ROSS GREY;Mike Hillyer
SPY MILE;07/07/2005 9:59:49;11/07/2005 13:34:49;RENEE LANE;Mike Hillyer
TITANS JERK;07/07/2005 10:12:36;15/07/2005 15:48:36;EDWARD BAUGH;Jon Stephens
OPEN AFRICAN;07/07/2005 10:14:31;12/07/2005 9:38:31;DUANE TUBBS;Jon Stephens
CAROL TEXAS;07/07/2005 10:17:15;10/07/2005 5:12:15;TAMMY SANDERS;Jon Stephens
GOSFORD DONNIE;07/07/2005 10:23:25;10/07/2005 13:18:25;LINDA WILLIAMS;Mike Hillyer
STRANGER STRANGERS;07/07/2005 10:32:25;15/07/2005 6:22:25;ROBERTA HARPER;Mike Hillyer
ACADEMY DINOSAUR;07/07/2005 10:41:31;11/07/2005 6:25:31;GERALDINE PERKINS;Mike Hillyer
LUST LOCK;07/07/2005 10:56:14;11/07/2005 9:56:14;SHAWN HEATON;Mike Hillyer
MOURNING PURPLE;07/07/2005 11:24:14;11/07/2005 16:26:14;LORETTA CARPENTER;Mike Hillyer
STREETCAR INTENTIONS;07/07/2005 11:25:39;11/07/2005 6:12:39;GLEN TALBERT;Mike Hillyer
SHOOTIST SUPERFLY;07/07/2005 11:34:22;09/07/2005 8:25:22;MARIO CHEATHAM;Mike Hillyer
PRINCESS GIANT;07/07/2005 12:08:59;11/07/2005 15:07:59;ALLISON STANLEY;Jon Stephens
SIMON NORTH;07/07/2005 12:24:21;10/07/2005 11:48:21;CHAD CARBONE;Mike Hillyer
DURHAM PANKY;07/07/2005 13:01:35;15/07/2005 13:05:35;VANESSA SIMS;Mike Hillyer
STING PERSONAL;07/07/2005 13:23:17;13/07/2005 17:49:17;THELMA MURRAY;Mike Hillyer
COAST RAINBOW;07/07/2005 14:14:13;12/07/2005 18:32:13;DOROTHY TAYLOR;Mike Hillyer
FARGO GANDHI;07/07/2005 14:14:36;10/07/2005 9:41:36;CARRIE PORTER;Mike Hillyer
GOLDMINE TYCOON;07/07/2005 14:27:51;12/07/2005 19:55:51;JUDY GRAY;Jon Stephens
ARMY FLINTSTONES;07/07/2005 14:38:41;10/07/2005 19:07:41;ELLA OLIVER;Jon Stephens
SLEUTH ORIENT;07/07/2005 14:53:24;13/07/2005 14:21:24;JENNIFER DAVIS;Jon Stephens
CAT CONEHEADS;07/07/2005 15:01:53;08/07/2005 9:43:53;GREGORY MAULDIN;Mike Hillyer
POLLOCK DELIVERANCE;07/07/2005 15:26:31;11/07/2005 14:27:31;DEBORAH WALKER;Mike Hillyer
IDOLS SNATCHERS;07/07/2005 15:47:47;10/07/2005 11:45:47;ERIKA PENA;Mike Hillyer
DEEP CRUSADE;07/07/2005 15:53:47;10/07/2005 18:11:47;BESSIE MORRISON;Mike Hillyer
MADRE GABLES;07/07/2005 16:08:51;13/07/2005 13:06:51;RONALD WEINER;Jon Stephens
DIVIDE MONSTER;07/07/2005 16:27:25;12/07/2005 18:20:25;JORDAN ARCHULETA;Mike Hillyer
EARTH VISION;07/07/2005 17:12:32;16/07/2005 11:24:32;ELLA OLIVER;Jon Stephens
FLINTSTONES HAPPINESS;07/07/2005 17:29:16;11/07/2005 21:47:16;REGINA BERRY;Mike Hillyer
STING PERSONAL;07/07/2005 17:34:59;09/07/2005 17:45:59;ANNIE RUSSELL;Jon Stephens
CANYON STOCK;07/07/2005 17:38:31;09/07/2005 20:24:31;VIVIAN RUIZ;Mike Hillyer
CAMELOT VACATION;07/07/2005 17:44:22;14/07/2005 15:12:22;ROBERT BAUGHMAN;Jon Stephens
JERICHO MULAN;07/07/2005 17:44:49;08/07/2005 21:48:49;TIFFANY JORDAN;Jon Stephens
BOWFINGER GABLES;07/07/2005 18:22:30;13/07/2005 18:20:30;JAVIER ELROD;Mike Hillyer
DURHAM PANKY;07/07/2005 18:50:47;12/07/2005 16:38:47;EMILY DIAZ;Jon Stephens
SENSIBILITY REAR;07/07/2005 19:04:24;14/07/2005 0:03:24;VICTOR BARKLEY;Jon Stephens
MILLION ACE;07/07/2005 19:15:58;16/07/2005 20:22:58;DORA MEDINA;Jon Stephens
BLINDNESS GUN;07/07/2005 19:19:05;13/07/2005 13:40:05;TOM MILNER;Mike Hillyer
HIGH ENCINO;07/07/2005 19:21:22;16/07/2005 15:57:22;BRIAN WYMAN;Mike Hillyer
RUGRATS SHAKESPEARE;07/07/2005 19:24:39;12/07/2005 0:11:39;GLADYS HAMILTON;Mike Hillyer
SECRET GROUNDHOG;07/07/2005 20:01:38;13/07/2005 1:19:38;BRAD MCCURDY;Jon Stephens
SNATCHERS MONTEZUMA;07/07/2005 20:37:53;10/07/2005 16:54:53;GLEN TALBERT;Mike Hillyer
CRAFT OUTFIELD;07/07/2005 20:48:38;11/07/2005 17:03:38;BOB PFEIFFER;Jon Stephens
POSEIDON FOREVER;07/07/2005 20:58:03;16/07/2005 20:05:03;ELLA OLIVER;Jon Stephens
DARKNESS WAR;07/07/2005 21:31:53;13/07/2005 19:00:53;DEBORAH WALKER;Mike Hillyer
POTLUCK MIXED;07/07/2005 21:47:29;11/07/2005 20:14:29;SUSAN WILSON;Jon Stephens
DIVINE RESURRECTION;07/07/2005 22:00:04;10/07/2005 18:20:04;JAIME NETTLES;Jon Stephens
FELLOWSHIP AUTUMN;07/07/2005 22:01:43;13/07/2005 3:09:43;FRANK WAGGONER;Jon Stephens
WAGON JAWS;07/07/2005 22:05:30;11/07/2005 18:42:30;TRAVIS ESTEP;Mike Hillyer
CONEHEADS SMOOCHY;07/07/2005 22:06:24;15/07/2005 23:59:24;DEBRA NELSON;Mike Hillyer
TITANS JERK;07/07/2005 22:07:55;16/07/2005 20:21:55;TRAVIS ESTEP;Mike Hillyer
MOONWALKER FOOL;07/07/2005 22:11:28;14/07/2005 18:49:28;KARL SEAL;Jon Stephens
BLANKET BEVERLY;07/07/2005 22:28:32;16/07/2005 2:04:32;GLENDA FRAZIER;Mike Hillyer
DETECTIVE VISION;07/07/2005 22:28:51;11/07/2005 21:37:51;JUDY GRAY;Jon Stephens
MASSACRE USUAL;07/07/2005 22:29:40;11/07/2005 2:46:40;ANA BRADLEY;Jon Stephens
OUTFIELD MASSACRE;07/07/2005 22:32:47;15/07/2005 3:10:47;BRITTANY RILEY;Jon Stephens
MUSIC BOONDOCK;07/07/2005 22:40:02;15/07/2005 1:46:02;DAISY BATES;Mike Hillyer
SPY MILE;07/07/2005 22:51:04;14/07/2005 23:15:04;DARLENE ROSE;Jon Stephens
SHANE DARKNESS;07/07/2005 22:55:41;13/07/2005 19:40:41;VINCENT RALSTON;Mike Hillyer
WAIT CIDER;07/07/2005 22:56:17;16/07/2005 17:28:17;RITA GRAHAM;Mike Hillyer
EFFECT GLADIATOR;07/07/2005 23:00:58;08/07/2005 21:31:58;EDGAR RHOADS;Jon Stephens
SLEEPLESS MONSOON;07/07/2005 23:04:23;13/07/2005 19:07:23;STACEY MONTGOMERY;Mike Hillyer
BROTHERHOOD BLANKET;07/07/2005 23:05:30;13/07/2005 22:20:30;SHANNON FREEMAN;Jon Stephens
ALIEN CENTER;07/07/2005 23:05:53;16/07/2005 1:46:53;ALAN KAHN;Mike Hillyer
NECKLACE OUTBREAK;07/07/2005 23:18:58;15/07/2005 20:40:58;JUSTIN NGO;Jon Stephens
ARMAGEDDON LOST;07/07/2005 23:29:54;10/07/2005 23:29:54;ANNE POWELL;Jon Stephens
LOLA AGENT;07/07/2005 23:31:54;14/07/2005 4:05:54;LEON BOSTIC;Mike Hillyer
FATAL HAUNTED;07/07/2005 23:43:46;08/07/2005 21:34:46;EDGAR RHOADS;Jon Stephens
TOOTSIE PILOT;07/07/2005 23:50:14;09/07/2005 21:55:14;TERRANCE ROUSH;Mike Hillyer
TOMORROW HUSTLER;08/07/2005 0:02:49;15/07/2005 20:48:49;MARSHA DOUGLAS;Jon Stephens
VOLCANO TEXAS;08/07/2005 0:04:59;16/07/2005 1:19:59;MELVIN ELLINGTON;Mike Hillyer
RIDGEMONT SUBMARINE;08/07/2005 0:12:53;17/07/2005 3:49:53;DAVID ROYAL;Jon Stephens
SHIP WONDERLAND;08/07/2005 0:20:57;10/07/2005 2:31:57;LUCILLE HOLMES;Mike Hillyer
IMAGE PRINCESS;08/07/2005 0:22:06;16/07/2005 20:16:06;DOUGLAS GRAF;Mike Hillyer
FARGO GANDHI;08/07/2005 0:22:10;09/07/2005 21:11:10;HERMAN DEVORE;Mike Hillyer
SAMURAI LION;08/07/2005 0:27:30;09/07/2005 5:39:30;PATRICK NEWSOM;Mike Hillyer
WIFE TURN;08/07/2005 0:56:30;10/07/2005 20:52:30;RAMONA HALE;Jon Stephens
SCALAWAG DUCK;08/07/2005 1:01:18;11/07/2005 1:18:18;CHESTER BENNER;Mike Hillyer
JEEPERS WEDDING;08/07/2005 1:20:22;16/07/2005 21:23:22;RALPH MADRIGAL;Jon Stephens
FAMILY SWEET;08/07/2005 1:40:24;09/07/2005 2:17:24;SALLY PIERCE;Jon Stephens
GLEAMING JAWBREAKER;08/07/2005 1:42:45;16/07/2005 22:29:45;JOE GILLILAND;Jon Stephens
APACHE DIVINE;08/07/2005 1:44:19;08/07/2005 20:34:19;WILLARD LUMPKIN;Jon Stephens
CRANES RESERVOIR;08/07/2005 2:08:48;10/07/2005 7:06:48;BETH FRANKLIN;Jon Stephens
BORN SPINAL;08/07/2005 2:10:01;15/07/2005 5:49:01;WARREN SHERROD;Jon Stephens
FEUD FROGMEN;08/07/2005 2:12:00;10/07/2005 2:16:00;PATSY DAVIDSON;Jon Stephens
CONQUERER NUTS;08/07/2005 2:22:45;14/07/2005 20:53:45;RAFAEL ABNEY;Mike Hillyer
JUGGLER HARDLY;08/07/2005 3:20:10;15/07/2005 2:21:10;TIM CARY;Mike Hillyer
SPICE SORORITY;08/07/2005 3:27:05;11/07/2005 7:44:05;RACHEL BARNES;Mike Hillyer
PITY BOUND;08/07/2005 3:27:59;10/07/2005 22:48:59;APRIL BURNS;Mike Hillyer
LOVE SUICIDES;08/07/2005 4:01:02;14/07/2005 22:32:02;GWENDOLYN MAY;Mike Hillyer
TRAMP OTHERS;08/07/2005 4:06:30;16/07/2005 6:54:30;MAE FLETCHER;Jon Stephens
SIMON NORTH;08/07/2005 4:17:47;13/07/2005 7:19:47;PENNY NEAL;Mike Hillyer
WONDERFUL DROP;08/07/2005 4:18:36;17/07/2005 8:23:36;PHILIP CAUSEY;Mike Hillyer
ROOM ROMAN;08/07/2005 4:20:19;09/07/2005 0:28:19;IRMA PEARSON;Jon Stephens
CHAMBER ITALIAN;08/07/2005 4:34:00;14/07/2005 23:45:00;RODNEY MOELLER;Jon Stephens
DROP WATERFRONT;08/07/2005 4:36:21;17/07/2005 10:23:21;RAMON CHOATE;Jon Stephens
STONE FIRE;08/07/2005 4:48:03;16/07/2005 4:34:03;RANDY GAITHER;Mike Hillyer
GRIT CLOCKWORK;08/07/2005 4:48:36;17/07/2005 7:57:36;NICOLE PETERSON;Mike Hillyer
TITANIC BOONDOCK;08/07/2005 4:48:41;16/07/2005 8:51:41;ROGER QUINTANILLA;Jon Stephens
BEHAVIOR RUNAWAY;08/07/2005 5:08:55;16/07/2005 5:44:55;ARNOLD HAVENS;Jon Stephens
MAGIC MALLRATS;08/07/2005 5:09:38;11/07/2005 5:37:38;RON DELUCA;Jon Stephens
SORORITY QUEEN;08/07/2005 5:12:28;17/07/2005 3:38:28;KEN PREWITT;Jon Stephens
MICROCOSMOS PARADISE;08/07/2005 5:33:59;14/07/2005 9:27:59;ANGEL BARCLAY;Mike Hillyer
EXCITEMENT EVE;08/07/2005 5:36:59;12/07/2005 4:46:59;MATTHEW MAHAN;Jon Stephens
CANDLES GRAPES;08/07/2005 5:39:42;08/07/2005 23:44:42;MARSHA DOUGLAS;Jon Stephens
SCARFACE BANG;08/07/2005 6:04:23;15/07/2005 5:42:23;BETH FRANKLIN;Jon Stephens
CRUSADE HONEY;08/07/2005 6:05:06;16/07/2005 0:54:06;KENT ARSENAULT;Mike Hillyer
KWAI HOMEWARD;08/07/2005 6:11:02;11/07/2005 5:14:02;HARRY ARCE;Mike Hillyer
GHOST GROUNDHOG;08/07/2005 6:11:58;17/07/2005 1:58:58;LESLIE GORDON;Mike Hillyer
SCALAWAG DUCK;08/07/2005 6:16:26;13/07/2005 0:59:26;ASHLEY RICHARDSON;Mike Hillyer
JUNGLE CLOSER;08/07/2005 6:29:43;17/07/2005 7:20:43;RENEE LANE;Mike Hillyer
COLOR PHILADELPHIA;08/07/2005 6:40:25;14/07/2005 8:54:25;JOSHUA MARK;Mike Hillyer
SHOOTIST SUPERFLY;08/07/2005 6:52:40;10/07/2005 6:30:40;CARRIE PORTER;Mike Hillyer
UNBREAKABLE KARATE;08/07/2005 6:58:43;14/07/2005 6:41:43;LUIS YANEZ;Mike Hillyer
SMOKING BARBARELLA;08/07/2005 7:22:29;10/07/2005 8:06:29;BYRON BOX;Mike Hillyer
ALONE TRIP;08/07/2005 7:40:44;12/07/2005 3:48:44;BILLY POULIN;Mike Hillyer
BULL SHAWSHANK;08/07/2005 7:44:49;09/07/2005 4:47:49;VIRGIL WOFFORD;Mike Hillyer
SPIKING ELEMENT;08/07/2005 7:55:08;17/07/2005 2:49:08;PEDRO CHESTNUT;Jon Stephens
SLEUTH ORIENT;08/07/2005 8:00:20;14/07/2005 5:59:20;DANA HART;Mike Hillyer
INNOCENT USUAL;08/07/2005 8:01:09;16/07/2005 5:52:09;DARYL LARUE;Jon Stephens
HEAVYWEIGHTS BEAST;08/07/2005 8:25:52;10/07/2005 11:22:52;TYRONE ASHER;Mike Hillyer
SABRINA MIDNIGHT;08/07/2005 8:33:38;09/07/2005 13:09:38;RONALD WEINER;Jon Stephens
CONGENIALITY QUEST;08/07/2005 8:40:02;12/07/2005 4:45:02;CAROLE BARNETT;Jon Stephens
HAUNTED ANTITRUST;08/07/2005 8:44:32;10/07/2005 8:59:32;ALLISON STANLEY;Jon Stephens
LOVER TRUMAN;08/07/2005 8:57:21;14/07/2005 11:22:21;TAMMY SANDERS;Jon Stephens
LOSE INCH;08/07/2005 9:09:46;17/07/2005 3:54:46;JESSICA HALL;Jon Stephens
CIDER DESIRE;08/07/2005 9:20:09;09/07/2005 6:07:09;BRYAN HARDISON;Jon Stephens
SATURDAY LAMBS;08/07/2005 9:31:27;13/07/2005 3:55:27;MARCUS HIDALGO;Jon Stephens
NONE SPIKING;08/07/2005 9:32:08;15/07/2005 15:20:08;TRACY COLE;Mike Hillyer
TRUMAN CRAZY;08/07/2005 9:48:03;17/07/2005 13:17:03;EDDIE TOMLIN;Mike Hillyer
TIES HUNGER;08/07/2005 9:49:22;15/07/2005 13:08:22;GINA WILLIAMSON;Mike Hillyer
WARDROBE PHANTOM;08/07/2005 9:53:28;14/07/2005 14:56:28;FRANCIS SIKES;Jon Stephens
MINDS TRUMAN;08/07/2005 9:55:06;11/07/2005 8:26:06;GABRIEL HARDER;Mike Hillyer
OZ LIAISONS;08/07/2005 9:59:18;10/07/2005 11:25:18;AMBER DIXON;Mike Hillyer
SATURN NAME;08/07/2005 10:13:08;16/07/2005 7:52:08;VIRGIL WOFFORD;Mike Hillyer
GENTLEMEN STAGE;08/07/2005 10:19:28;12/07/2005 12:54:28;FRANK WAGGONER;Jon Stephens
EDGE KISSING;08/07/2005 10:30:36;14/07/2005 12:40:36;MYRTLE FLEMING;Mike Hillyer
TELEMARK HEARTBREAKERS;08/07/2005 10:35:28;14/07/2005 8:42:28;COLLEEN BURTON;Mike Hillyer
CALENDAR GUNFIGHT;08/07/2005 10:41:06;17/07/2005 10:35:06;PERRY SWAFFORD;Mike Hillyer
RESURRECTION SILVERADO;08/07/2005 11:04:02;15/07/2005 10:27:02;JUDITH COX;Jon Stephens
TOWN ARK;08/07/2005 11:19:14;12/07/2005 7:14:14;PEARL GARZA;Jon Stephens
LOVERBOY ATTACKS;08/07/2005 11:36:56;14/07/2005 11:35:56;ROGER QUINTANILLA;Jon Stephens
MERMAID INSECTS;08/07/2005 11:41:36;10/07/2005 6:55:36;GLORIA COOK;Mike Hillyer
SUNDANCE INVASION;08/07/2005 12:04:34;15/07/2005 6:48:34;SHEILA WELLS;Mike Hillyer
FEATHERS METAL;08/07/2005 12:12:33;16/07/2005 17:13:33;GERTRUDE CASTILLO;Mike Hillyer
MOCKINGBIRD HOLLYWOOD;08/07/2005 12:34:34;09/07/2005 10:28:34;TOM MILNER;Mike Hillyer
PITTSBURGH HUNCHBACK;08/07/2005 12:39:31;15/07/2005 18:07:31;CLAUDIA FULLER;Mike Hillyer
TOOTSIE PILOT;08/07/2005 13:08:18;09/07/2005 13:16:18;HEIDI LARSON;Jon Stephens
JEOPARDY ENCINO;08/07/2005 13:12:07;13/07/2005 7:34:07;PHYLLIS FOSTER;Mike Hillyer
VAMPIRE WHALE;08/07/2005 13:23:53;12/07/2005 18:49:53;VICTORIA GIBSON;Mike Hillyer
HUNCHBACK IMPOSSIBLE;08/07/2005 13:24:58;17/07/2005 17:44:58;BRENDA WRIGHT;Jon Stephens
MASK PEACH;08/07/2005 13:30:35;14/07/2005 18:43:35;CARLOS COUGHLIN;Mike Hillyer
CHILL LUCK;08/07/2005 14:23:41;10/07/2005 19:35:41;EUGENE CULPEPPER;Mike Hillyer
PET HAUNTING;08/07/2005 14:24:00;12/07/2005 16:16:00;JACK FOUST;Mike Hillyer
ENDING CROWDS;08/07/2005 14:36:51;12/07/2005 15:28:51;NATHANIEL ADAM;Mike Hillyer
SMOOCHY CONTROL;08/07/2005 14:48:07;10/07/2005 12:41:07;SAMANTHA DUNCAN;Jon Stephens
DYING MAKER;08/07/2005 15:01:25;17/07/2005 15:16:25;JULIA FLORES;Mike Hillyer
SONG HEDWIG;08/07/2005 15:18:53;13/07/2005 15:48:53;JUAN FRALEY;Mike Hillyer
MUSKETEERS WAIT;08/07/2005 15:28:20;09/07/2005 11:46:20;MAURICE CRAWLEY;Mike Hillyer
INTOLERABLE INTENTIONS;08/07/2005 15:41:11;17/07/2005 15:25:11;GLEN TALBERT;Mike Hillyer
EXCITEMENT EVE;08/07/2005 15:53:41;15/07/2005 20:30:41;DENNIS GILMAN;Mike Hillyer
MOULIN WAKE;08/07/2005 16:06:51;13/07/2005 18:34:51;WENDY HARRISON;Mike Hillyer
BRINGING HYSTERICAL;08/07/2005 16:08:51;17/07/2005 17:56:51;TROY QUIGLEY;Mike Hillyer
AFFAIR PREJUDICE;08/07/2005 16:22:01;15/07/2005 18:29:01;BEVERLY BROOKS;Jon Stephens
AMELIE HELLFIGHTERS;08/07/2005 16:25:27;11/07/2005 11:35:27;REGINALD KINDER;Mike Hillyer
INSECTS STONE;08/07/2005 16:29:38;10/07/2005 16:31:38;JOANNE ROBERTSON;Jon Stephens
STOCK GLASS;08/07/2005 16:45:16;16/07/2005 13:45:16;WILMA RICHARDS;Jon Stephens
HOLLOW JEOPARDY;08/07/2005 16:51:08;13/07/2005 14:16:08;EMILY DIAZ;Jon Stephens
MANNEQUIN WORST;08/07/2005 17:02:49;12/07/2005 22:49:49;KEN PREWITT;Jon Stephens
TEEN APOLLO;08/07/2005 17:04:24;12/07/2005 16:41:24;ELAINE STEVENS;Jon Stephens
CORE SUIT;08/07/2005 17:12:51;17/07/2005 13:14:51;VIRGIL WOFFORD;Mike Hillyer
ANACONDA CONFESSIONS;08/07/2005 17:18:22;14/07/2005 14:40:22;CLARA SHAW;Mike Hillyer
GOODFELLAS SALUTE;08/07/2005 17:28:08;11/07/2005 17:44:08;BERNICE WILLIS;Mike Hillyer
SUNRISE LEAGUE;08/07/2005 17:28:47;14/07/2005 13:06:47;ROBERTA HARPER;Mike Hillyer
WIFE TURN;08/07/2005 17:46:30;11/07/2005 14:12:30;TIFFANY JORDAN;Jon Stephens
MIXED DOORS;08/07/2005 17:54:18;11/07/2005 23:41:18;PAULINE HENRY;Mike Hillyer
DRIVER ANNIE;08/07/2005 17:56:23;17/07/2005 21:40:23;WILLIE MARKHAM;Jon Stephens
GOLD RIVER;08/07/2005 18:18:16;16/07/2005 14:59:16;SHERRY MARSHALL;Mike Hillyer
FIGHT JAWBREAKER;08/07/2005 18:21:30;10/07/2005 22:25:30;ERIN DUNN;Jon Stephens
BOUND CHEAPER;08/07/2005 18:29:05;10/07/2005 22:33:05;ARMANDO GRUBER;Jon Stephens
ROSES TREASURE;08/07/2005 18:29:13;15/07/2005 18:12:13;CODY NOLEN;Jon Stephens
OZ LIAISONS;08/07/2005 18:30:16;12/07/2005 19:53:16;VICKIE BREWER;Jon Stephens
PAYCHECK WAIT;08/07/2005 18:39:31;13/07/2005 0:18:31;MICHELE GRANT;Jon Stephens
PANKY SUBMARINE;08/07/2005 18:57:30;16/07/2005 15:12:30;JON WILES;Jon Stephens
BENEATH RUSH;08/07/2005 19:02:46;17/07/2005 20:17:46;TONI HOLT;Mike Hillyer
PACKER MADIGAN;08/07/2005 19:05:34;17/07/2005 15:05:34;LEONA OBRIEN;Jon Stephens
TIMBERLAND SKY;08/07/2005 19:10:52;09/07/2005 21:43:52;RENE MCALISTER;Jon Stephens
DRIVING POLISH;08/07/2005 19:13:50;14/07/2005 20:59:50;JOSEPH JOY;Jon Stephens
MAIDEN HOME;08/07/2005 19:19:52;13/07/2005 20:27:52;ELLA OLIVER;Jon Stephens
HOMEWARD CIDER;08/07/2005 19:27:50;14/07/2005 15:42:50;FELICIA SUTTON;Mike Hillyer
SWEETHEARTS SUSPECTS;08/07/2005 19:33:49;17/07/2005 17:47:49;BERNICE WILLIS;Mike Hillyer
FERRIS MOTHER;08/07/2005 19:34:55;09/07/2005 15:53:55;ALMA AUSTIN;Mike Hillyer
SHAKESPEARE SADDLE;08/07/2005 20:05:38;14/07/2005 14:55:38;JULIAN VEST;Jon Stephens
DIARY PANIC;08/07/2005 20:21:31;11/07/2005 1:59:31;VELMA LUCAS;Mike Hillyer
PARTY KNOCK;08/07/2005 20:23:15;10/07/2005 15:38:15;CARRIE PORTER;Mike Hillyer
BOUND CHEAPER;08/07/2005 20:37:11;10/07/2005 21:53:11;AMY LOPEZ;Mike Hillyer
EARLY HOME;08/07/2005 21:01:41;13/07/2005 2:23:41;TONYA CHAPMAN;Jon Stephens
DEEP CRUSADE;08/07/2005 21:27:48;18/07/2005 2:51:48;HARRY ARCE;Mike Hillyer
MODEL FISH;08/07/2005 21:32:17;14/07/2005 20:55:17;WILMA RICHARDS;Jon Stephens
BRANNIGAN SUNRISE;08/07/2005 21:43:21;10/07/2005 16:06:21;EDNA WEST;Jon Stephens
DANCING FEVER;08/07/2005 21:44:39;17/07/2005 15:50:39;CAROL GARCIA;Jon Stephens
TRADING PINOCCHIO;08/07/2005 22:01:48;18/07/2005 3:27:48;GLENN PULLEN;Mike Hillyer
VOYAGE LEGALLY;08/07/2005 22:05:41;09/07/2005 23:09:41;JANE BENNETT;Jon Stephens
MOVIE SHAKESPEARE;08/07/2005 22:16:18;17/07/2005 3:42:18;SONIA GREGORY;Mike Hillyer
GREEDY ROOTS;08/07/2005 22:18:42;10/07/2005 20:44:42;BRAD MCCURDY;Jon Stephens
INTRIGUE WORST;08/07/2005 22:32:53;14/07/2005 16:48:53;JEFF EAST;Jon Stephens
MOTHER OLEANDER;08/07/2005 22:43:05;15/07/2005 18:17:05;LISA ANDERSON;Jon Stephens
SIERRA DIVIDE;08/07/2005 22:44:28;17/07/2005 21:51:28;MAE FLETCHER;Jon Stephens
IDOLS SNATCHERS;08/07/2005 22:45:02;11/07/2005 23:59:02;LORRAINE STEPHENS;Jon Stephens
